,url,class,domain_name,domain,suffix,create_date,updated_date,expiration_date,state,country,status,emails,whois_server,registrar,host_ip
5954981,http://stolizaparketa.ru/wp-content/themes/twentyfifteen/css/read/chinavali/index.php?email=abuse@activesolutions.co.uk,malicious,stolizaparketa.ru,stolizaparketa,ru,2007-12-10 21:00:00,,2019-12-10 21:00:00,,,"REGISTERED, DELEGATED, UNVERIFIED",,,RU-CENTER-RU,87.236.19.141
6006259,http://ydfcp9393cc-cc9393cp.vip/,malicious,ydfcp9393cc-cc9393cp.vip,ydfcp9393cc-cc9393cp,vip,,,,,,,,,,202.60.241.91
5978947,https://playzone.webcindario.com/?lang=en,malicious,webcindario.com,webcindario,com,2001-02-28 12:45:04,2018-02-22 23:22:03,2023-02-28 12:45:04,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited']","['domainabuse@tucows.com', 'dominios@acens.com']",whois.tucows.com,"TUCOWS, INC.",5.57.226.200
5958408,http://data.jmontario.ca/peace/maker.htm,malicious,jmontario.ca,jmontario,ca,2008-06-26 16:12:45,2019-06-26 04:02:57,2020-06-26 04:00:00,,,,"Please ask the Registrar of Record identified in this output for information on how to contact the Registrant, Admin, or Other contacts of the queried domain name",,,192.99.34.156
6067464,http://kenchickenmalang.com/Account/PayPal/Info/myaccount/websc_billing,malicious,kenchickenmalang.com,kenchickenmalang,com,2018-11-30 09:34:35,"[datetime.datetime(2018, 11, 30, 9, 34, 35), datetime.datetime(2019, 1, 30, 2, 26, 5)]",2019-11-30 09:34:35,Jawa Timur,ID,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"['gotechmalang@gmail.com', 'abuse@resellerid.com']",whois.resellerid.com,PT Ardh Global Indonesia,180.235.148.70
6123726,https://www.mailz45.tk/tZSIgbmFtZT0iY25hbW/pages/ib.absa.co.za.htm,malicious,mailz45.tk,mailz45,tk,,,,,,,,,,missing
6118558,http://jwzoyub.com/chuks/office/,malicious,jwzoyub.com,jwzoyub,com,"[datetime.datetime(2019, 7, 9, 0, 19, 37), datetime.datetime(2019, 7, 9, 0, 0)]","[datetime.datetime(2019, 7, 9, 0, 19, 37), datetime.datetime(2019, 7, 9, 8, 19, 37)]","[datetime.datetime(2020, 7, 9, 0, 19, 37), datetime.datetime(2020, 7, 9, 0, 0)]",NSW,AU,ok https://icann.org/epp#ok,"['abuse@crazydomains.com', 'domains@crazydomains.com', 'DOMAINS@PRIVATEREGISTRYAUTHORITY.COM']",whois.syrahost.com,CRAZY DOMAINS FZ-LLC,124.217.247.134
6111846,http://www.bethelcladic.com/docs/n.html,malicious,bethelcladic.com,bethelcladic,com,"[datetime.datetime(2013, 3, 19, 4, 43, 57), datetime.datetime(2013, 3, 19, 5, 44)]",2019-04-06 02:37:36,2020-03-19 04:43:57,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"['ok https://icann.org/epp#ok', 'ok https://www.icann.org/epp#ok']",ABUSE@ENOM.COM,WHOIS.ENOM.COM,"ENOM, INC.",65.44.220.52
6010692,http://paxfu.com,malicious,paxfu.com,paxfu,com,"[datetime.datetime(2017, 3, 14, 22, 25, 7), datetime.datetime(2017, 3, 14, 0, 0)]","[datetime.datetime(2019, 3, 14, 22, 39, 24), datetime.datetime(2019, 7, 12, 10, 46, 11, 934793)]","[datetime.datetime(2020, 3, 14, 22, 25, 7), datetime.datetime(2020, 3, 14, 0, 0)]",,Cyprus,"['ok https://icann.org/epp#ok', 'ok']","['abuse@danesconames.com', 'paxfu.com@whoisprotectservice.net', 'abuse@ahnames.com']",whois.danesconames.com,DANESCO TRADING LTD,136.243.255.81
5996179,http://facebook.driversandcooks.com/IlOysTgNjFrGtHtEAwVo/indexx.php,malicious,driversandcooks.com,driversandcooks,com,2018-07-28 07:24:48,"[datetime.datetime(2018, 7, 28, 7, 24, 48), datetime.datetime(2018, 9, 27, 2, 21, 45)]",2019-07-28 07:24:48,Nigeria,NG,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"['abuse-contact@publicdomainregistry.com', 'tomeinstein16@gmail.com']",whois.publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,67.220.184.146
6074133,https://dsgv-online-portal.com/9638786/FYPQHZAKHG7YFSJCAW937AYL/ET9ENXLJTHE7DRKQ7U6XUA7A/RX5YSBW8DRKUR5WGFZMHKF6S/TGMQP7ERWDR8JZH7URS3SHNR/T6VXTXXHCS33JCY7QKCLJMJR/index.php,malicious,dsgv-online-portal.com,dsgv-online-portal,com,"[datetime.datetime(2019, 6, 10, 16, 44, 47), datetime.datetime(2019, 6, 10, 0, 0)]","[datetime.datetime(2019, 6, 10, 16, 51, 36), datetime.datetime(2019, 6, 10, 16, 44, 48)]","[datetime.datetime(2020, 6, 10, 16, 44, 47), datetime.datetime(2020, 6, 10, 0, 0)]",Redacted for Privacy Purposes,Redacted for Privacy Purposes,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientDeleteProhibited (http://www.icann.org/epp#clientDeleteProhibited)', 'clientTransferProhibited (http://www.icann.org/epp#clientTransferProhibited)']","['contact@ordertld.com', 'abuse@ordertld.com']",whois.ordertld.com,CNOBIN INFORMATION TECHNOLOGY LIMITED,104.27.166.135
5992916,http://brasilprocycling.com/login/1/,malicious,brasilprocycling.com,brasilprocycling,com,"[datetime.datetime(2015, 11, 30, 11, 40, 27), datetime.datetime(2015, 11, 30, 11, 40)]",2018-12-03 11:32:13,2019-11-30 11:40:27,REDACTED FOR PRIVACY,REDACTED FOR PRIVACY,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited https://www.icann.org/epp#clientTransferProhibited']",ABUSE@ENOM.COM,WHOIS.ENOM.COM,"ENOM, INC.",104.28.31.212
5089074,http://juniore22.tripod.com/Kontoe-url/06-07-2017/Kortkode.html,malicious,tripod.com,tripod,com,1994-09-29 04:00:00,2018-12-17 17:15:26,2020-09-28 04:00:00,MA,US,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited']","['domainabuse@cscglobal.com', 'dns-admin@lycos-inc.com']",whois.corporatedomains.com,"CSC CORPORATE DOMAINS, INC.",209.202.252.55
5851158,http://esting.es/ad/,malicious,esting.es,esting,es,,,,,,,,,,176.31.61.108
5505258,https://0utlookwebapp2018.editor.multiscreensite.com/preview/4b2a22ea,malicious,multiscreensite.com,multiscreensite,com,2013-11-10 16:21:26,"[datetime.datetime(2018, 2, 14, 21, 59, 3), datetime.datetime(2017, 10, 16, 14, 10, 37)]",2019-11-10 16:21:26,Arizona,US,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited']","['abuse@godaddy.com', 'MULTISCREENSITE.COM@domainsbyproxy.com']",whois.godaddy.com,"GoDaddy.com, LLC",missing
5852617,http://stcroixlofts.com/inc/manager/config/auth/log/9838ae223e5e5931c88b6e8c794fdeb0MWJhNzk4NWJlOTEyY2YyNzE0YTk3YWQxODk3M2FmYzY=/resolution/websc_login/,malicious,stcroixlofts.com,stcroixlofts,com,2003-11-04 19:42:02,2018-11-02 08:51:09,2019-11-04 18:42:02,ON,CA,ok https://icann.org/epp#ok,"['stcroixlofts.com@contactprivacy.com', 'domainabuse@tucows.com', 'dnsadmin@mediatemple.net']",whois.tucows.com,"TUCOWS, INC.",64.13.232.69
6011311,https://meei.asureforce.net/redirect.aspx?redirecturl=https:/infoassounct.net/valence/valenti,malicious,asureforce.net,asureforce,net,2012-01-21 14:06:21,2017-11-22 08:20:26,2021-01-21 14:06:21,,,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@web.com,whois.networksolutions.com,"Network Solutions, LLC",96.45.82.82
6117790,https://www.mdl3.net/,malicious,mdl3.net,mdl3,net,"[datetime.datetime(2019, 7, 8, 10, 56, 2), datetime.datetime(2019, 7, 8, 13, 56, 7)]","[datetime.datetime(2019, 7, 8, 10, 56, 4), datetime.datetime(2019, 7, 8, 0, 0)]","[datetime.datetime(2020, 7, 8, 10, 56, 2), datetime.datetime(2020, 7, 8, 0, 0)]",,RU,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited']","['abuse@reg.ru', 'MDL3.NET@regprivate.ru']",whois.reg.com,Registrar of domain names REG.RU LLC,37.140.192.135
6056636,http://icloud.com.i-location.top/verify.php,malicious,i-location.top,i-location,top,2019-04-12 03:37:11,"[datetime.datetime(2019, 7, 17, 15, 49, 31), datetime.datetime(2019, 7, 17, 15, 49, 32)]",2020-04-12 03:37:11,New York,US,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientHold https://icann.org/epp#clientHold', 'clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited']","['abuse-contact@publicdomainregistry.com', 'pay7822@gmail.com']",whois.publicdomainregistry.com,PDR Ltd. d/b/a PublicDomainRegistry.com,missing
5970181,http://srodkidlagastronomii.pl/s/Stripe/verification/83409DD6443AE4D10DME/index.php?lang_x=en/,malicious,srodkidlagastronomii.pl,srodkidlagastronomii,pl,2012-07-04 09:20:25,2019-07-03 14:45:15,2020-07-04 09:20:25,,,,,,,91.217.242.35
6074149,https://gostepbystep.com/contents/review/uploads/theme/index.php,malicious,gostepbystep.com,gostepbystep,com,2016-07-03 09:48:52,"[datetime.datetime(2019, 7, 17, 11, 54, 24), datetime.datetime(2018, 7, 3, 9, 48, 52)]","[datetime.datetime(2020, 7, 3, 9, 48, 52), datetime.datetime(2019, 7, 3, 9, 48, 52)]",,PK,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"['support@bluehost.com', 'MR.CHOCLATE222@GMAIL.COM', 'SUPPORT-DOMAIN@BLUEHOST.COM']",whois.bluehost.com,FastDomain Inc.,209.99.64.51
5148916,http://afsm.com.au/,malicious,afsm.com.au,afsm,com.au,,,,,,"['clientUpdateProhibited https://afilias.com.au/get-au/whois-status-codes#clientUpdateProhibited', 'serverRenewProhibited https://afilias.com.au/get-au/whois-status-codes#serverRenewProhibited']",,,Domain Central Australia Pty Ltd,149.202.84.69
5986237,http://laekjargata.is/imgs/bankofamerica.html,malicious,laekjargata.is,laekjargata,is,"[datetime.datetime(2011, 12, 8, 0, 0), datetime.datetime(2010, 9, 24, 0, 0), datetime.datetime(2003, 2, 19, 0, 0)]",,2019-12-08 00:00:00,,,,,,,185.67.84.105
6012443,https://servixdesx.ontrapages.com,malicious,ontrapages.com,ontrapages,com,2014-04-10 19:19:25,2019-05-10 19:25:50,2020-04-10 19:19:25,,,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,abuse@web.com,whois.register.com,"Register.com, Inc.",54.86.146.185
6108219,http://www.ngoworldnews.com/menuso/Services/myaccount/signin/,malicious,ngoworldnews.com,ngoworldnews,com,2018-12-25 11:23:10,"[datetime.datetime(2019, 7, 20, 9, 7, 15), datetime.datetime(2018, 12, 25, 11, 23, 10)]",2019-12-25 11:23:10,Delhi,IN,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited']",abuse@godaddy.com,whois.godaddy.com,"GoDaddy.com, LLC",216.10.241.191
5366479,http://amadolondon.co.uk/OG/mail.163.com,malicious,amadolondon.co.uk,amadolondon,co.uk,2015-05-04 00:00:00,2019-04-16 00:00:00,2020-05-04 00:00:00,,,Registered until expiry date.,,,Mesh Digital Limited t/a Domainmonster.com [Tag = MONSTER],162.144.3.186
6119215,http://americabank.xaa.pl/Accueil100003/BankofAmerica/login.php,malicious,xaa.pl,xaa,pl,2007-02-28 23:23:58,2019-01-11 12:22:42,2020-02-28 23:23:58,,,,,,,51.83.145.118
5577132,http://donnarogersimagery.com/wp-includes/js/jcrop/login.alibaba.com/login.jsp.php,malicious,donnarogersimagery.com,donnarogersimagery,com,2012-06-06 18:09:40,"[datetime.datetime(2019, 6, 7, 14, 8, 52), datetime.datetime(2019, 6, 7, 14, 8, 50)]",2020-06-06 18:09:40,New York,US,"['clientDeleteProhibited https://icann.org/epp#clientDeleteProhibited', 'clientRenewProhibited https://icann.org/epp#clientRenewProhibited', 'clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited https://icann.org/epp#clientUpdateProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited']",abuse@godaddy.com,whois.godaddy.com,"GoDaddy.com, LLC",50.87.150.60
6033188,http://geocities.ws/anal265boy/,malicious,geocities.ws,geocities,ws,2009-08-10 03:05:06,"[datetime.datetime(2018, 5, 29, 18, 58, 23), datetime.datetime(2018, 5, 29, 18, 58, 21)]",2020-08-10 03:05:06,Arizona,US,"['clientTransferProhibited', 'clientDeleteProhibited', 'clientUpdateProhibited', 'clientRenewProhibited', 'clientTransferProhibited http://www.icann.org/epp#clientTransferProhibited', 'clientUpdateProhibited http://www.icann.org/epp#clientUpdateProhibited', 'clientRenewProhibited http://www.icann.org/epp#clientRenewProhibited', 'clientDeleteProhibited http://www.icann.org/epp#clientDeleteProhibited']","['abuse@godaddy.com', 'GEOCITIES.WS@domainsbyproxy.com']",whois.godaddy.com,"GoDaddy.com, LLC",104.25.38.29
6039006,http://vk123.xyz/,malicious,vk123.xyz,vk123,xyz,2019-03-30 16:10:41,"[datetime.datetime(2019, 5, 10, 8, 42, 17), datetime.datetime(2019, 5, 30, 2, 17, 38)]",2020-03-30 23:59:59,123,RU,clientTransferProhibited https://icann.org/epp#clientTransferProhibited,"['domains@hostinger.com', 'alexandermi@mail.ru']",whois.hostinger.com,"Hostinger, UAB",185.224.138.213
6090521,http://paypal.co.uk.0hdi.top/m/,malicious,0hdi.top,0hdi,top,2019-05-15 08:51:02,"[datetime.datetime(2019, 5, 15, 19, 46, 20), datetime.datetime(2019, 5, 15, 21, 28, 18)]",2020-05-15 08:51:02,Zuid-Holland,NL,"['clientTransferProhibited https://icann.org/epp#clientTransferProhibited', 'ok https://icann.org/epp#ok']",abuse@registrar.eu,whois.registrar.eu,Hosting Concepts B.V. d/b/a Openprovider,185.87.187.198
